date,tag,asset,downloads
2026-06-01,v1.0.1,auxly-cli_1.0.1_linux_amd64.deb,0
2026-06-01,v1.0.1,auxly-cli_1.0.1_linux_amd64.rpm,0
2026-06-01,v1.0.1,auxly-cli_1.0.1_linux_arm64.deb,0
2026-06-01,v1.0.1,auxly-cli_1.0.1_linux_arm64.rpm,0
2026-06-01,v1.0.1,auxly-cli_darwin_amd64.tar.gz,0
2026-06-01,v1.0.1,auxly-cli_darwin_arm64.tar.gz,1
2026-06-01,v1.0.1,auxly-cli_linux_amd64.tar.gz,0
2026-06-01,v1.0.1,auxly-cli_linux_arm64.tar.gz,0
2026-06-01,v1.0.1,auxly-cli_windows_amd64.zip,0
2026-06-01,v1.0.1,auxly-cli_windows_arm64.zip,0
2026-06-01,v1.0.1,auxly-darwin-amd64,0
2026-06-01,v1.0.1,auxly-darwin-arm64,2
2026-06-01,v1.0.1,auxly-linux-amd64,4
2026-06-01,v1.0.1,auxly-linux-arm64,0
2026-06-01,v1.0.1,auxly-windows-amd64.exe,1
2026-06-01,v1.0.1,auxly-windows-arm64.exe,0
2026-06-01,v1.0.1,checksums.txt,0
2026-06-02,v1.0.1,auxly-cli_1.0.1_linux_amd64.deb,0
2026-06-02,v1.0.1,auxly-cli_1.0.1_linux_amd64.rpm,0
2026-06-02,v1.0.1,auxly-cli_1.0.1_linux_arm64.deb,0
2026-06-02,v1.0.1,auxly-cli_1.0.1_linux_arm64.rpm,0
2026-06-02,v1.0.1,auxly-cli_darwin_amd64.tar.gz,0
2026-06-02,v1.0.1,auxly-cli_darwin_arm64.tar.gz,1
2026-06-02,v1.0.1,auxly-cli_linux_amd64.tar.gz,0
2026-06-02,v1.0.1,auxly-cli_linux_arm64.tar.gz,0
2026-06-02,v1.0.1,auxly-cli_windows_amd64.zip,0
2026-06-02,v1.0.1,auxly-cli_windows_arm64.zip,0
2026-06-02,v1.0.1,auxly-darwin-amd64,0
2026-06-02,v1.0.1,auxly-darwin-arm64,3
2026-06-02,v1.0.1,auxly-linux-amd64,4
2026-06-02,v1.0.1,auxly-linux-arm64,0
2026-06-02,v1.0.1,auxly-windows-amd64.exe,2
2026-06-02,v1.0.1,auxly-windows-arm64.exe,0
2026-06-02,v1.0.1,checksums.txt,0
2026-06-03,v1.0.6,auxly-cli_1.0.6_linux_amd64.deb,1
2026-06-03,v1.0.6,auxly-cli_1.0.6_linux_amd64.rpm,1
2026-06-03,v1.0.6,auxly-cli_1.0.6_linux_arm64.deb,1
2026-06-03,v1.0.6,auxly-cli_1.0.6_linux_arm64.rpm,1
2026-06-03,v1.0.6,auxly-cli_darwin_amd64.tar.gz,1
2026-06-03,v1.0.6,auxly-cli_darwin_arm64.tar.gz,1
2026-06-03,v1.0.6,auxly-cli_linux_amd64.tar.gz,1
2026-06-03,v1.0.6,auxly-cli_linux_arm64.tar.gz,1
2026-06-03,v1.0.6,auxly-cli_windows_amd64.zip,1
2026-06-03,v1.0.6,auxly-cli_windows_arm64.zip,1
2026-06-03,v1.0.6,auxly-darwin-amd64,1
2026-06-03,v1.0.6,auxly-darwin-arm64,2
2026-06-03,v1.0.6,auxly-linux-amd64,1
2026-06-03,v1.0.6,auxly-linux-arm64,1
2026-06-03,v1.0.6,auxly-windows-amd64.exe,1
2026-06-03,v1.0.6,auxly-windows-arm64.exe,1
2026-06-03,v1.0.6,checksums.txt,1
